"","species","stage","biofilm","crustacean","detritus","fish","insect","macrophyte","mollusk","phytoplankton","worm","zooplankton"
"47","Gymnocephalus cernua","recruits/juv.",0,0,0,0,0,0,0,0,0,1
"48","Gymnocephalus cernua","juv./adults",1,1,1,1,1,1,1,0,1,1
"49","Gymnocephalus cernua","adults",0,0,0,1,0,0,0,0,0,0
"50","Hypophthalmichthys molitrix","recruits/juv.",0,0,0,0,0,0,0,0,0,1
"51","Hypophthalmichthys molitrix","larvae",0,0,0,0,0,0,0,0,0,1
"52","Hypophthalmichthys molitrix","juv./adults",0,0,0,0,0,0,0,1,0,0
"53","Lepomis gibbosus","recruits/juv.",0,1,1,0,1,0,0,0,0,1
"54","Lepomis gibbosus","juv./adults",0,1,0,1,1,0,0,0,1,1
"55","Leucaspius delineatus","juv./adults",1,0,0,0,1,0,0,1,0,0
"56","Leucaspius delineatus","adults",0,0,0,0,0,0,0,0,0,1
"57","Leuciscus aspius","larvae",0,0,0,0,0,0,0,0,0,1
"58","Leuciscus aspius","juv./adults",0,0,0,1,0,0,0,0,0,0
"59","Leuciscus burdigalensis",NA,0,0,0,0,0,0,0,0,0,0
"60","Leuciscus idus","juv./adults",0,1,0,0,1,0,1,0,0,1
"61","Leuciscus idus","adults",0,0,0,1,0,0,0,0,0,0
"62","Leuciscus leuciscus","juv./adults",1,1,1,0,1,0,1,0,0,0
"63","Lota lota","recruits/juv.",0,0,0,1,1,0,0,0,0,0
"64","Lota lota","juv./adults",0,1,0,1,1,0,1,0,0,1
"65","Lota lota","adults",0,0,0,1,0,0,0,0,0,0
"66","Micropterus salmoides","recruits/juv.",0,0,0,1,1,0,0,0,0,1
"67","Micropterus salmoides","larvae",0,0,0,0,1,0,0,0,0,1
"68","Micropterus salmoides","juv./adults",1,1,0,1,1,0,1,0,0,1
"69","Micropterus salmoides","adults",0,1,0,1,0,0,0,0,0,0
"70","Misgurnus fossilis","juv./adults",0,0,0,0,1,0,1,0,0,0
"71","Neogobius melanostomus","juv./adults",0,1,0,0,0,0,1,0,0,0
"72","Oncorhynchus mykiss","recruits/juv.",0,1,0,1,1,0,1,0,1,0
"73","Oncorhynchus mykiss","larvae",0,1,0,0,1,0,0,0,1,0
"74","Oncorhynchus mykiss","juv./adults",1,1,1,1,1,0,1,0,0,0
"75","Oncorhynchus mykiss","adults",0,0,0,1,0,0,0,0,0,0
"76","Pachychilon pictum","juv./adults",1,0,0,0,1,0,0,0,0,0
"77","Parachondrostoma toxostoma","juv./adults",1,0,0,0,0,0,0,0,0,0
"78","Perca fluviatilis","recruits/juv.",0,0,0,0,1,0,0,0,1,1
"79","Perca fluviatilis","juv./adults",0,1,0,1,1,0,0,0,0,1
"80","Phoxinus phoxinus","recruits/juv.",0,1,0,0,1,0,0,0,1,0
"81","Phoxinus phoxinus","juv./adults",1,0,1,1,1,0,0,0,0,1
"82","Phoxinus phoxinus","adults",0,1,0,0,1,0,0,0,0,0
"83","Ponticola kessleri","juv./adults",0,1,0,1,0,0,0,0,1,1
"84","Pseudorasbora parva","juv./adults",0,1,0,1,1,1,1,1,0,1
"85","Pungitius pungitius","juv./adults",0,1,0,0,1,0,0,0,1,1
"86","Pungitius pungitius","adults",0,0,0,0,1,0,0,0,0,1
"87","Rhodeus amarus","juv./adults",1,1,0,0,1,0,0,0,1,0
"88","Rutilus rutilus","recruits/juv.",0,0,0,0,1,0,0,0,1,0
"89","Rutilus rutilus","juv./adults",1,1,1,0,1,0,1,1,1,1
"90","Salariopsis fluviatilis","juv./adults",0,0,0,0,0,0,0,0,0,0
"91","Salmo trutta","recruits/juv.",0,1,0,1,1,0,0,0,0,0
"92","Salmo trutta","larvae",0,0,0,0,0,0,0,0,0,1
"93","Salmo trutta","juv./adults",0,1,0,1,1,0,1,0,1,1
"94","Salmo trutta","adults",0,1,0,1,1,0,1,0,0,1
"95","Salvelinus alpinus","recruits/juv.",0,1,0,1,1,0,1,0,1,1
"96","Salvelinus alpinus","larvae",0,0,0,0,1,0,0,0,0,1
"97","Salvelinus alpinus","juv./adults",0,1,0,1,1,0,1,0,1,1
"98","Salvelinus alpinus","adults",0,0,0,0,0,0,0,0,0,1
"99","Salvelinus fontinalis","juv./adults",0,1,0,1,1,0,1,0,1,1
"100","Salvelinus fontinalis","adults",0,0,0,0,0,0,0,0,0,0
"101","Salvelinus namaycush","recruits/juv.",0,1,0,0,1,0,0,0,0,1
"102","Salvelinus namaycush","juv./adults",1,0,0,1,1,0,1,0,1,1
"103","Salvelinus namaycush","adults",0,0,0,1,1,0,0,0,0,0
"104","Sander lucioperca","recruits/juv.",0,0,0,1,1,0,0,0,0,1
"105","Sander lucioperca","juv./adults",0,0,0,1,0,0,0,0,0,1
"106","Scardinius erythrophthalmus","recruits/juv.",0,0,0,0,0,0,0,1,0,1
"107","Scardinius erythrophthalmus","juv./adults",0,1,1,0,1,1,0,1,0,1
"108","Scardinius hesperidicus","juv./adults",1,0,0,0,1,0,0,0,0,0
"109","Silurus glanis","recruits/juv.",0,0,0,1,1,0,0,0,0,1
"110","Silurus glanis","juv./adults",0,0,0,1,0,0,0,0,0,0
"111","Silurus glanis","adults",0,0,0,0,0,0,0,0,0,0
"112","Squalius cephalus","recruits/juv.",0,0,0,0,1,0,0,0,0,1
"113","Squalius cephalus","juv./adults",1,1,0,0,1,0,1,0,1,0
"114","Squalius cephalus","adults",0,0,0,1,0,0,0,0,0,0
"115","Telestes souffia","juv./adults",0,0,0,0,1,0,0,0,0,0
"116","Thymallus thymallus","juv./adults",0,1,1,0,1,0,0,0,0,1
"117","Thymallus thymallus","adults",0,0,0,1,0,0,0,0,0,0
"118","Tinca tinca","juv./adults",1,1,1,1,1,0,1,0,1,1
"119","Zingel asper","juv./adults",0,1,0,0,1,0,0,0,1,1
