species,stage,length_min,length_max,crustacean,insect,worm,zooplankton,detritus,macrophyte,mollusk,fish,biofilm,phytoplankton,echinoderm
Chelidonichthys lucerna,adult,2.000002,Inf,1,0,0,1,0,0,1,1,1,0,0
Chelon auratus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Chelon auratus,juvenile,2.000002,24.000001,1,1,1,1,0,0,0,0,0,1,0
Chelon auratus,adult,24.000002000000002,Inf,1,1,0,1,1,0,1,0,0,1,0
Chelon labrosus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Chelon labrosus,adult,2.000002,Inf,1,1,0,1,1,0,1,0,1,1,0
Chelon ramada,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Chelon ramada,juvenile,2.000002,18.000001,1,1,1,1,0,0,0,0,0,0,0
Chelon ramada,adult,18.000002000000002,Inf,1,1,0,1,1,0,1,0,1,1,0
Ciliata mustela,larvae,0,2.000001,1,0,0,1,0,0,0,0,0,0,0
Ciliata mustela,adult,2.000002,Inf,1,0,0,0,0,0,0,1,0,0,0
Clupea harengus,larvae,0,2.000001,0,0,0,1,0,0,1,0,0,0,0
Clupea harengus,juvenile,2.000002,22.508334301544192,0,0,0,1,0,0,0,0,0,0,0
Clupea harengus,adult,22.508335301544193,Inf,1,0,1,1,1,0,1,1,0,1,0
Conger conger,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Conger conger,juvenile,2.000002,200.000001,1,0,0,0,0,0,0,1,0,0,0
Conger conger,adult,200.000002,Inf,1,0,1,1,0,0,1,1,0,0,0
Cottus gobio,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Cottus gobio,adult,2.000002,Inf,1,1,1,1,1,0,0,1,1,0,0
Ctenolabrus rupestris,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Ctenolabrus rupestris,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,1
Cyprinus carpio,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Cyprinus carpio,adult,2.000002,Inf,1,1,1,1,1,1,1,1,1,0,0
Dicentrarchus labrax,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Dicentrarchus labrax,juvenile,2.000002,32.500001,1,1,0,1,1,0,0,0,0,0,0
Dicentrarchus labrax,adult,32.500001999999995,Inf,1,0,0,1,0,0,0,1,0,0,0
Dicentrarchus punctatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Dicentrarchus punctatus,adult,2.000002,Inf,1,0,0,0,0,0,1,1,0,0,0
Dicologlossa cuneata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Dicologlossa cuneata,adult,2.000002,Inf,1,0,1,0,0,0,1,0,0,0,0
Diplecogaster bimaculata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,1,0
Diplecogaster bimaculata,adult,2.000002,Inf,1,0,0,0,0,0,0,0,0,0,0
Diplodus sargus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Diplodus sargus,adult,2.000002,Inf,1,1,1,1,1,0,1,1,1,0,1
Echiichthys vipera,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Echiichthys vipera,adult,2.000002,Inf,0,0,0,0,0,0,0,1,0,0,0
Engraulis encrasicolus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Engraulis encrasicolus,juvenile,2.000002,13.000001,0,0,0,1,0,0,0,0,0,0,0
Engraulis encrasicolus,adult,13.000001999999999,Inf,1,0,0,1,0,0,1,0,0,1,0
Entelurus aequoreus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Entelurus aequoreus,adult,2.000002,Inf,1,0,0,1,0,0,0,0,0,0,0
Eutrigla gurnardus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Eutrigla gurnardus,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,1
Gasterosteus aculeatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Gasterosteus aculeatus,adult,2.000002,Inf,1,1,1,1,0,0,1,1,1,1,0
Gobio gobio,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Gobio gobio,adult,2.000002,Inf,1,1,1,0,0,0,1,0,1,0,0
Gobius niger,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Gobius niger,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,0
Gobius paganellus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Gobius paganellus,adult,2.000002,Inf,1,1,1,1,0,0,1,0,0,0,1
Gymnocephalus cernua,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Gymnocephalus cernua,juvenile,2.000002,10.250001,0,0,0,1,0,0,0,0,0,0,0
Gymnocephalus cernua,adult,10.250001999999999,Inf,1,1,1,1,1,1,1,1,1,0,0
Hippocampus guttulatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Hippocampus guttulatus,adult,2.000002,Inf,1,0,0,1,0,0,0,0,1,0,0
Hippocampus hippocampus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Hippocampus hippocampus,adult,2.000002,Inf,1,0,0,1,1,0,0,0,1,0,0
Hyperoplus immaculatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Hyperoplus immaculatus,adult,2.000002,Inf,0,0,0,0,0,0,0,1,0,0,0
Hyperoplus lanceolatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Hyperoplus lanceolatus,adult,2.000002,Inf,1,0,0,1,0,0,0,1,0,0,0
Labrus bergylta,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Labrus bergylta,adult,2.000002,Inf,1,0,1,1,0,0,1,1,1,0,1
Lepadogaster candolii,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Lepadogaster candolii,adult,2.000002,Inf,0,0,0,0,1,0,0,0,0,0,0
Limanda limanda,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Limanda limanda,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,1
Lophius piscatorius,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Lophius piscatorius,adult,2.000002,Inf,0,0,0,0,0,0,1,1,0,0,0
Merlangius merlangus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Merlangius merlangus,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,1
Merluccius merluccius,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Merluccius merluccius,juvenile,2.000002,43.000001,1,0,0,1,0,0,0,1,0,0,0
Merluccius merluccius,adult,43.000001999999995,Inf,1,0,0,1,0,0,0,1,1,0,1
Microchirus variegatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Microchirus variegatus,adult,2.000002,Inf,1,0,1,0,0,0,1,0,0,0,0
Mullus barbatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Mullus barbatus,adult,2.000002,Inf,1,0,1,1,1,0,1,1,1,1,1
Mullus surmuletus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Mullus surmuletus,adult,2.000002,Inf,1,0,1,1,1,0,1,1,1,0,1
Neogobius melanostomus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Neogobius melanostomus,adult,2.000002,Inf,1,0,0,0,0,0,1,0,0,0,0
Nerophis lumbriciformis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Nerophis lumbriciformis,adult,2.000002,Inf,1,0,0,0,0,0,0,1,0,0,0
Nerophis ophidion,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Nerophis ophidion,adult,2.000002,Inf,1,0,0,1,0,0,1,1,0,0,0
Osmerus eperlanus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Osmerus eperlanus,adult,2.000002,Inf,1,0,1,1,0,0,0,1,0,0,0
Parablennius gattorugine,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Parablennius gattorugine,adult,2.000002,Inf,1,0,1,0,0,0,0,0,1,0,1
Pegusa lascaris,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Pegusa lascaris,adult,2.000002,Inf,1,0,0,0,0,0,1,0,0,0,0
Perca fluviatilis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Perca fluviatilis,juvenile,2.000002,13.921001051498413,0,1,1,1,0,0,0,0,0,0,0
Perca fluviatilis,adult,13.921002051498412,Inf,1,1,0,1,0,0,0,1,0,0,0
Platichthys flesus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Platichthys flesus,juvenile,2.000002,24.000001,1,0,0,0,0,0,1,0,0,0,0
Platichthys flesus,adult,24.000002000000002,Inf,1,0,1,0,0,0,1,1,0,0,0
Pleuronectes platessa,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Pleuronectes platessa,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,1
Pollachius pollachius,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Pollachius pollachius,juvenile,2.000002,41.000001,1,0,0,0,0,0,0,0,0,0,0
Pollachius pollachius,adult,41.000001999999995,Inf,1,0,1,1,0,0,1,1,0,0,0
Pomatoschistus flavescens,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Pomatoschistus flavescens,adult,2.000002,Inf,1,0,1,1,0,0,1,0,0,0,0
Pomatoschistus lozanoi,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Pomatoschistus lozanoi,adult,2.000002,Inf,1,0,1,1,0,0,0,0,0,0,0
Pomatoschistus microps,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Pomatoschistus microps,adult,2.000002,Inf,1,0,0,1,0,0,1,0,0,0,0
Pomatoschistus minutus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Pomatoschistus minutus,adult,2.000002,Inf,1,1,1,1,0,0,1,1,0,0,0
Pomatoschistus pictus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Pomatoschistus pictus,adult,2.000002,Inf,1,0,0,1,0,0,1,0,0,0,0
Raja clavata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Raja clavata,juvenile,2.000002,77.000001,1,0,0,0,0,0,0,1,0,0,0
Raja clavata,adult,77.000002,Inf,1,0,1,0,0,0,1,1,0,0,0
Rutilus rutilus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Rutilus rutilus,juvenile,2.000002,12.088000916076659,0,1,1,0,0,0,0,0,0,0,0
Rutilus rutilus,adult,12.088001916076658,Inf,1,1,1,1,1,0,1,0,1,1,0
Sander lucioperca,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Sander lucioperca,juvenile,2.000002,6.000001,0,1,0,1,0,0,0,1,0,0,0
Sander lucioperca,adult,6.000002,Inf,0,0,0,1,0,0,0,1,0,0,0
Sardina pilchardus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Sardina pilchardus,juvenile,2.000002,15.000001,0,0,0,1,0,0,1,0,0,1,0
Sardina pilchardus,adult,15.000001999999999,Inf,1,0,0,1,0,0,1,0,1,1,0
Scomber scombrus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Scomber scombrus,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,0
Scophthalmus maximus,larvae,0,2.000001,1,0,0,1,0,0,0,0,0,0,0
Scophthalmus maximus,adult,2.000002,Inf,1,0,1,0,0,0,0,1,0,0,0
Scophthalmus rhombus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Scophthalmus rhombus,adult,2.000002,Inf,1,0,0,1,0,0,0,1,0,0,0
Scyliorhinus canicula,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Scyliorhinus canicula,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,0
Solea senegalensis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Solea senegalensis,juvenile,2.000002,30.000001,1,0,1,0,0,0,1,0,0,0,0
Solea senegalensis,adult,30.000002000000002,Inf,1,0,1,0,0,0,1,0,0,0,0
Solea solea,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Solea solea,juvenile,2.000002,30.000001,0,0,1,0,0,0,0,0,0,0,0
Solea solea,adult,30.000002000000002,Inf,1,1,1,1,1,0,1,1,1,0,1
Sparus aurata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Sparus aurata,juvenile,2.000002,36.000001,1,0,1,1,1,0,0,0,0,1,0
Sparus aurata,adult,36.000001999999995,Inf,1,1,1,1,0,0,1,1,1,0,0
Spinachia spinachia,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Spinachia spinachia,adult,2.000002,Inf,1,0,0,1,0,0,0,0,0,0,0
Spondyliosoma cantharus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Spondyliosoma cantharus,adult,2.000002,Inf,1,0,1,1,0,0,1,0,1,0,0
Sprattus sprattus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Sprattus sprattus,adult,2.000002,Inf,0,0,0,1,0,0,0,0,0,0,0
Squalius cephalus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Squalius cephalus,juvenile,2.000002,15.400001095367431,0,1,0,1,0,0,0,0,0,0,0
Squalius cephalus,adult,15.40000209536743,Inf,1,1,1,0,0,0,1,1,1,0,0
Symphodus melops,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Symphodus melops,adult,2.000002,Inf,1,1,1,0,0,0,1,0,1,0,0
Symphodus roissali,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Symphodus roissali,adult,2.000002,Inf,1,0,0,1,0,0,1,0,0,0,1
Syngnathus acus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Syngnathus acus,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,0
Syngnathus rostellatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Syngnathus rostellatus,adult,2.000002,Inf,0,0,0,1,0,0,0,0,0,0,0
Syngnathus typhle,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Syngnathus typhle,adult,2.000002,Inf,1,0,0,1,0,0,0,1,0,0,0
Taurulus bubalis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Taurulus bubalis,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,1
Torpedo marmorata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Torpedo marmorata,adult,2.000002,Inf,1,0,1,0,0,0,1,1,0,0,0
Trachinus draco,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Trachinus draco,adult,2.000002,Inf,1,0,0,0,0,0,0,1,0,0,0
Trachurus trachurus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Trachurus trachurus,juvenile,2.000002,24.000001,1,0,0,1,0,0,0,0,0,0,0
Trachurus trachurus,adult,24.000002000000002,Inf,1,0,0,1,0,0,1,1,1,0,0
Trigla lyra,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Trigla lyra,adult,2.000002,Inf,1,0,1,1,0,0,0,0,0,0,1
Trisopterus luscus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Trisopterus luscus,adult,2.000002,Inf,1,0,0,0,0,0,0,1,0,0,0
Trisopterus minutus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Trisopterus minutus,adult,2.000002,Inf,1,0,1,1,0,0,1,1,0,0,0
Umbrina canariensis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Umbrina canariensis,adult,2.000002,Inf,1,0,1,0,0,0,0,0,0,0,0
Zeugopterus norvegicus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Zeugopterus norvegicus,adult,2.000002,Inf,0,0,0,0,0,0,0,1,0,0,0
Zeus faber,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0
Zeus faber,adult,2.000002,Inf,1,0,0,1,0,0,1,1,0,0,1
