species,stage,length_min,length_max,crustacean,insect,worm,zooplankton,detritus,macrophyte,mollusk,fish,biofilm,phytoplankton,echinoderm,Validated?,Reference_ID,Confidence,Notes,,,
Atherina presbyter,adult,2.000002,,0,0,0,1,0,0,0,0,0,0,0,Confirmed,SAN86,Medium,Eat most copepods.,,,
Barbatula barbatula,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,HYS82,Medium,,,,
Barbatula barbatula,adult,2.000002,,0,1,0,1,0,0,0,0,0,0,0,Revised,HYS82,Medium,,,,
Barbus barbus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,BIS99,Medium,Feed mainly on insects.,,,
Barbus barbus,adult,2.000002,,0,1,0,0,0,0,0,0,1,0,0,Revised,BIS99,Medium,,,,
Blennius ocellaris,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Blennius ocellaris,adult,2.000002,,1,0,1,0,0,0,1,0,0,0,1,Revised,BLENNY1,Medium,"No much papers on this one, neither diet shift",,,
Blicca bjoerkna,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,YAZ16,Medium,,,,
Blicca bjoerkna,juvenile,2.000002,15.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,YAZ16,Medium,,,,
Blicca bjoerkna,juvenile/adult,15.000002,19.000001,0,1,0,1,0,0,0,0,0,0,0,Revised,YAZ16,Medium,,,,
Blicca bjoerkna,adult,19.000002,,0,1,0,1,0,1,0,0,0,0,0,Revised,YAZ16,Medium,,,,
Buglossidium luteum,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Buglossidium luteum,juvenile,2.000002,7.9,1,0,1,0,0,0,1,0,0,0,0,Revised,FLATFISH1,Medium,"Size at maturity from fishbase, Same diet than A. lanterna
",,,
Buglossidium luteum,adult,7.9,,1,0,1,0,0,0,0,1,0,0,1,Revised,FLATFISH1,Medium,Same diet than A. lanterna,,,
Callionymus lyra,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,KIN94,Medium,,,,
Callionymus lyra,adult,2.000002,,1,0,1,0,0,0,1,0,0,0,1,Revised,KIN94,Medium,,,,
Chelidonichthys cuculus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Chelidonichthys cuculus,juvenile,2,11,1,0,0,0,0,0,0,0,0,0,0,Revised,GUNARD1,Medium,Specialist feeder on benthic invertebrates,,,
Chelidonichthys cuculus,adult,11,,1,0,0,0,0,0,0,0,0,0,0,Revised,GUNARD1,Medium,Diet shift only on the size of the preys,,,
Chelidonichthys lastoviza,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Chelidonichthys lastoviza,juvenile,2,12,1,0,0,0,0,0,0,0,0,0,0,Revised,GUNARD2,Medium,,,,
Chelidonichthys lastoviza,adult,12,,1,0,0,0,0,0,0,0,0,0,0,Revised,GUNARD2,Medium,No diet shift in nature of the preys,,,
Chelidonichthys lucerna,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Chelidonichthys lucerna,juvenile,2,18,1,0,0,0,0,0,0,1,0,0,0,Revised,GUNARD1,Medium,,,,
Chelidonichthys lucerna,adult,18,,1,0,0,0,0,0,0,1,0,0,0,Revised,GUNARD1,Medium,Diet shift only on the size of the preys,,,
Chelon auratus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Chelon auratus,juvenile,2.000002,24.000001,1,1,1,1,0,0,0,0,0,1,0,,,,,,,
Chelon auratus,adult,24.000002,,1,1,0,1,1,0,1,0,0,1,0,,,,,,,
Chelon labrosus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,,,,,
Chelon labrosus,adult,2.000002,,0,0,0,1,1,0,0,0,1,1,0,Revised,FISHBASE,Low,"Not many information, used FISHBASE description.",,,
Chelon ramada,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Chelon ramada,juvenile,2.000002,18.000001,1,1,1,1,0,0,0,0,0,0,0,,,,,,,
Chelon ramada,adult,18.000002,,1,1,0,1,1,0,1,0,1,1,0,,,,,,,
Ciliata mustela,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,,,,,
Ciliata mustela,adult,2.000002,,1,0,0,0,0,0,0,1,0,0,0,Revised,BAD77,Medium,,,,
Clupea harengus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,1,0,Revised,LAS88,Medium,FISHBASE was too broad.,,,
Clupea harengus,juvenile,2.000002,22.5083343,0,0,0,1,0,0,0,0,0,0,0,Revised,LAS88,Medium,,,,
Clupea harengus,adult,22.5083353,,0,0,0,1,0,0,0,1,0,0,0,Revised,LAS88,Medium,,,,
Conger conger,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,XAV09,Medium,"Removed a life stage category, no information on diet shift.",,,
Conger conger,juvenile,2.000002,,1,0,0,0,0,0,0,1,0,0,0,Revised,XAV09,Medium,,,,
Cottus gobio,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Cottus gobio,adult,2.000002,,1,1,1,1,1,0,0,1,1,0,0,,,,,,,
Ctenolabrus rupestris,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Ctenolabrus rupestris,adult,2.000002,,1,0,1,1,0,0,1,0,0,0,1,Revised,SAY95,Medium,,,,
Cyprinus carpio,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,SAY95,Medium,,,,
Cyprinus carpio,adult,2.000002,,1,1,1,1,1,1,1,1,1,0,0,,,,,,,
Dicentrarchus labrax,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,CAR14,Medium,,,,
Dicentrarchus labrax,juvenile,2.000002,32.500001,1,0,0,0,0,0,0,1,0,0,0,Revised,CAR14,Medium,,,,
Dicentrarchus labrax,adult,32.500002,,0,0,0,0,0,0,0,1,0,0,0,Revised,CAR14,Medium,,,,
Dicentrarchus punctatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Dicentrarchus punctatus,adult,2.000002,,1,0,0,0,0,0,1,1,0,0,0,Confirmed,ROD24,Medium,,,,
Dicologlossa cuneata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Dicologlossa cuneata,adult,2.000002,,1,0,1,0,0,0,1,0,0,0,0,Confirmed,BEL93,Medium,Diet of typical benthic flatfish.,,,
Diplecogaster bimaculata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,,,,,
Diplecogaster bimaculata,adult,2.000002,,1,0,0,0,0,0,0,0,0,0,0,Revised,,,,,,
Diplodus annularis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,LH,,,,,,
Diplodus annularis,adult,2.000002,,1,0,0,0,0,1,1,1,0,0,0,Revised,CHA14,Medium,,,,
Diplodus sargus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,LH,,,,,,
Diplodus sargus,adult,2.000002,,1,0,0,0,0,1,1,0,0,0,1,Revised,FIG05,Medium,,,,
Echiichthys vipera,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Echiichthys vipera,adult,2.000002,,1,0,0,0,0,0,0,1,0,0,0,Revised,VAS04,Medium,,,,
Engraulis encrasicolus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Engraulis encrasicolus,adult,2.000002,,1,0,0,1,0,0,1,0,0,1,0,Revised,RAA11,Medium,,,,
Engraulis maeoticus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Engraulis maeoticus,adult,2.000002,,1,0,0,1,0,0,1,0,0,1,0,Revised,RAA11,Low,Assumed to be the same diet as Engraulis encrasicolus.,,,
Entelurus aequoreus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Entelurus aequoreus,adult,2.000002,,0,0,0,1,0,0,0,0,0,0,0,Revised,PIN21,Low,"Diet is poorly studied, in particular it's not sure whether they feed on crustaceans.",,,
Eutrigla gurnardus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,Medium,,,,
Eutrigla gurnardus,juvenile,2,10,1,0,0,0,0,0,1,1,0,0,0,Revised,GUNARD1,Medium,More generalist than the 2 other gunard species,,,
Eutrigla gurnardus,adult,10,,1,0,0,0,0,0,1,1,0,0,0,Revised,GUNARD1,Medium,No diet shift in nature of the preys,,,
Gasterosteus aculeatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Gasterosteus aculeatus,adult,2.000002,,1,1,1,1,0,0,1,1,1,1,0,,,,,,,
Gobio gobio,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Gobio gobio,adult,2.000002,,1,1,1,0,0,0,1,0,1,0,0,,,,,,,
Gobius niger,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Gobius niger,juvenile,2.000002,11.4,1,0,1,1,0,0,1,0,0,0,0,Revised,HAJ12a,Medium,,,,
Gobius niger,adult,11.400001,,1,0,1,1,0,0,1,1,0,0,0,Revised,HAJ12a,Medium,,,,
Gobius paganellus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Gobius paganellus,juvenile,2.000002,11.000001,1,0,0,0,0,0,0,0,0,0,0,Revised,HAJ12b,Medium,,,,
Gobius paganellus,adult,11.000002,,1,0,0,0,0,0,1,0,0,0,0,Revised,HAJ12b,Medium,,,,
Gymnocephalus cernua,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Gymnocephalus cernua,juvenile,2.000002,10.250001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Gymnocephalus cernua,adult,10.250002,,1,1,1,1,1,1,1,1,1,0,0,,,,,,,
Hippocampus guttulatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Hippocampus guttulatus,adult,2.000002,,1,0,1,1,0,0,0,0,0,0,0,Revised,APE19,Medium,,,,
Hippocampus hippocampus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Hippocampus hippocampus,adult,2.000002,,1,0,0,1,0,0,0,0,0,0,0,Revised,KIT08,Medium,Diet more specialized than the one of H. guttulatus.,,,
Hyperoplus immaculatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Hyperoplus immaculatus,adult,2.000002,,1,0,1,1,0,0,0,1,0,0,0,Revised,RUI08,Low,"Very little information on his diet, assumed to be the same its congener H. lanceolatus.",,,
Hyperoplus lanceolatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Hyperoplus lanceolatus,adult,2.000002,,1,0,1,1,0,0,0,1,0,0,0,Revised,RUI08,Low,Little information on species diet.,,,
Labrus bergylta,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Labrus bergylta,adult,2.000002,,1,0,0,1,0,1,1,0,0,0,1,Revised,FIG05,Medium,,,,
Lepadogaster candolii,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Lepadogaster candolii,adult,2.000002,,1,0,1,1,0,0,0,0,0,0,0,Revised,TRK24,Medium,,,,
Limanda limanda,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Limanda limanda,adult,2.000002,,1,0,1,0,0,0,1,1,0,0,1,Confirmed,HIN05,Medium,,,,
Lophius piscatorius,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Lophius piscatorius,adult,2.000002,,0,0,0,0,0,0,0,1,0,0,0,Revised,LAU05,Medium,,,,
Merlangius merlangus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Merlangius merlangus,juvenile,2.000002,20.00001,1,0,1,0,0,0,1,0,0,0,1,Revised,TIM20,Medium,,,,
Merlangius merlangus,adult,20.00002,,0,0,1,0,0,0,1,1,0,0,1,Revised,TIM20,Medium,,,,
Merluccius merluccius,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,,,,,
Merluccius merluccius,juvenile,2.000002,10.000001,1,0,0,1,0,0,0,1,0,0,0,Revised,DIG22,Medium,,,,
Merluccius merluccius,adult,10.000002,,0,0,0,1,0,0,0,1,0,0,0,Revised,DIG22,Medium,,,,
Microchirus variegatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Microchirus variegatus,adult,2.000002,,1,0,1,0,0,0,0,0,0,0,0,Revised,SOLE1,Medium,Removed mollusks because they are really small part of the diet,,,
Mullus barbatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,LH,,,,,
Mullus barbatus,adult,2.000002,,1,0,1,1,0,0,0,0,0,0,0,Revised,CHE11,Medium,,,,
Mullus surmuletus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Mullus surmuletus,juvenile,2.000002,17.000001,1,0,1,1,0,0,0,0,0,0,0,Revised,LAB97,Medium,,,,
Mullus surmuletus,adult,17.000002,,1,0,1,1,0,0,0,1,0,0,0,Revised,LAB97,Medium,,,,
Neogobius melanostomus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Neogobius melanostomus,adult,2.000002,,1,0,0,0,0,0,1,0,0,0,0,,,,,,,
Nerophis lumbriciformis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Nerophis lumbriciformis,adult,2.000002,,1,0,0,1,0,0,0,0,0,0,0,Revised,LYO04,Medium,,,,
Nerophis maculatus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Nerophis maculatus,adult,2.000002,,1,0,0,1,0,0,0,0,0,0,0,Revised,CAS20,Medium,,,,
Nerophis ophidion,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Nerophis ophidion,adult,2.000002,,1,0,0,1,0,0,1,0,0,0,0,Revised,GUR11,Medium,,,,
Osmerus eperlanus,larvae,0,10,0,0,0,1,0,0,0,0,0,0,0,Revised,SMELT1,Medium,Water flea mainly,,,
Osmerus eperlanus,juvenile,10,15,1,0,0,0,0,0,0,0,0,0,0,Revised,SMELT1,Medium,,,,
Osmerus eperlanus,adult1,15,25,1,1,0,0,0,0,0,1,0,0,0,Revised,SMELT1,Medium,larvea and pupae of insect + amphipods,,,
Osmerus eperlanus,adult2,25,,0,0,0,0,0,0,0,1,0,0,0,Revised,SMELT1,Medium,100% cannibalistic,,,
Parablennius gattorugine,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Parablennius gattorugine,adult,2.000002,,1,0,1,1,0,0,1,0,1,0,1,Revised,MIL83,Medium,,,,
Pegusa lascaris,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Pegusa lascaris,adult,2.000002,,1,0,1,1,0,0,1,0,0,0,0,Revised,ROD24,Medium,,,,
Perca fluviatilis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Perca fluviatilis,juvenile,2.000002,13.92100105,0,1,1,1,0,0,0,0,0,0,0,,,,,,,
Perca fluviatilis,adult,13.92100205,,1,1,0,1,0,0,0,1,0,0,0,,,,,,,
Platichthys flesus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Platichthys flesus,juvenile,2.000002,17.000001,1,0,0,1,0,0,0,0,0,0,0,Revised,VIN08,Medium,,,,
Platichthys flesus,adult,17.000002,,1,0,1,0,0,0,1,1,0,0,0,Revised,VIN08,Medium,,,,
Pleuronectes platessa,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Pleuronectes platessa,juvenile,2,30,1,0,1,0,0,0,1,0,0,0,0,Revised,PLAICE2,Medium,,,,
Pleuronectes platessa,adult,30,,1,0,1,0,0,0,1,0,0,0,1,Revised,PLAICE1,Medium,,,,
Pollachius pollachius,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Pollachius pollachius,juvenile,2.000002,,1,0,0,1,0,0,0,1,0,0,0,Revised,NOA99,Low,"Assumed to be same diet as Pollachius virens, too little information.",,,
Pomatoschistus flavescens,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Pomatoschistus flavescens,adult,2.000002,,1,0,0,1,0,0,0,0,0,0,0,Revised,LAF99,Low,Assumed to be the same as Pomatoschistus lozanoi.,,,
Pomatoschistus lozanoi,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Pomatoschistus lozanoi,adult,2.000002,,1,0,0,1,0,0,0,0,0,0,0,Revised,LAF99,Medium,,,,
Pomatoschistus microps,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Pomatoschistus microps,adult,2.000002,,1,0,1,1,0,0,1,0,0,0,0,Revised,SAL04,Medium,,,,
Pomatoschistus minutus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Pomatoschistus minutus,adult,2.000002,,1,0,1,1,0,0,1,1,0,0,0,Revised,SAL04,Medium,,,,
Pomatoschistus pictus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Pomatoschistus pictus,adult,2.000002,,1,0,1,1,1,0,0,0,0,0,0,Revised,COL82,Medium,,,,
Raja clavata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Raja clavata,juvenile,2.000002,45.000001,1,0,0,1,0,0,0,0,0,0,0,Revised,AJA82,Medium,,,,
Raja clavata,adult,45.000002,,1,0,0,1,0,0,0,1,0,0,0,Revised,AJA82,Medium,,,,
Raja microocellata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Raja microocellata,juvenile,2,35,1,0,1,0,0,0,0,0,0,0,0,Revised,AJA82,High,,,,
Raja microocellata,adult,35.00001,,1,0,0,0,0,0,0,1,0,0,0,Revised,AJA82,High,,,,
Raja undulata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Raja undulata,juvenile,2,55,1,0,0,0,0,0,1,0,0,0,0,Revised,MOU08,High,,,,
Raja undulata,juvenile/adult,55.0001,75,1,0,0,0,0,0,1,0,0,0,0,Revised,MOU08,High,,,,
Raja undulata,adult,75.00001,,1,0,0,0,0,0,0,1,0,0,0,Revised,MOU08,High,,,,
Rutilus rutilus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Rutilus rutilus,juvenile,2.000002,12.08800092,0,1,1,0,0,0,0,0,0,0,0,,,,,,,
Rutilus rutilus,adult,12.08800192,,1,1,1,1,1,0,1,0,1,1,0,,,,,,,
Sander lucioperca,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Sander lucioperca,juvenile,2.000002,3.700001,0,0,0,1,0,0,0,0,0,0,0,Revised,TES25,Medium,,,,
Sander lucioperca,adult,3.700002,8.000001,0,1,0,1,0,0,0,0,0,0,0,Revised,TES25,Medium,,,,
Sander lucioperca,adult2,8.000002,,0,0,0,0,0,0,0,1,0,0,0,Revised,TES25,Medium,,,,
Sardina pilchardus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
Sardina pilchardus,juvenile,2.000002,,1,0,0,1,0,0,0,0,0,1,0,Revised,COS15,Medium,,,,
Scomber scombrus,larvae,0,2.900001,0,0,0,1,0,0,0,0,0,0,0,Revised,MAK1,Medium,,,,
Scomber scombrus,juvenile,2.900002,30,1,0,0,1,0,0,0,0,0,0,0,Revised,MAK1,Medium,,,,
Scomber scombrus,adult,30,,1,0,0,1,0,0,0,1,0,0,0,Revised,MAK1,Medium,,,,
Scophthalmus maximus,larvae,0,2.000001,1,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Scophthalmus maximus,juvenile,2.000002,3.000001,1,1,0,1,0,0,0,0,0,0,0,Revised,AAR96,Medium,,,,
Scophthalmus maximus,adult,3.000002,,1,0,0,1,0,0,0,1,0,0,0,Revised,AAR96,Medium,,,,
Scophthalmus rhombus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Scophthalmus rhombus,adult,2.000002,,1,0,0,1,0,0,1,1,0,0,0,Revised,VIN11,Medium,,,,
Scyliorhinus canicula,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Scyliorhinus canicula,adult,2.000002,5.300001,1,0,1,1,0,0,1,0,0,0,0,Revised,LYL83,Medium,,,,
Scyliorhinus canicula,adult,5.300002,,1,0,1,1,0,0,1,1,0,0,0,Revised,LYL83,Medium,,,,
Solea senegalensis,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Solea senegalensis,adult,2.000002,,1,0,1,1,0,0,1,0,0,0,0,Revised,GAR96,Medium,,,,
Solea solea,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Solea solea,adult,2.000002,,1,0,1,1,0,0,1,0,0,0,0,Revised,MOL91,Medium,,,,
Sparus aurata,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Sparus aurata,adult,2.000002,,1,0,1,1,0,0,1,0,0,1,0,Revised,PIT02,Medium,,,,
Spinachia spinachia,larvae,0,2,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Spinachia spinachia,juvenile,2,90,1,0,0,1,0,0,0,0,0,0,0,Revised,STICKLE1,Medium,,,,
Spinachia spinachia,adult,90,,1,0,0,0,0,0,0,0,0,0,0,Revised,STICKLE1,Medium,,,,
Spondyliosoma cantharus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Spondyliosoma cantharus,adult,2.000002,,1,0,1,1,0,0,1,0,0,0,1,Revised,DUL06,Medium,,,,
Sprattus sprattus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Sprattus sprattus,adult,2.000002,,0,0,0,1,0,0,0,0,0,1,0,Revised,FAL14,Medium,,,,
Squalius cephalus,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Confirmed,LH,,,,,
Squalius cephalus,juvenile,2.000002,,0,1,1,1,1,1,0,1,0,1,0,Revised,UNV11,Medium,,,,&
Symphodus bailloni,larvae,0,2.000001,0,0,0,1,0,0,0,0,0,0,0,Revised,DEA09,Low,Assumed to be the same as Symphodus melops.,,,
